id,label,title_decision,title_score,content_decision,content_score
8476,FAKE,bias,0.361886919,bias,0.195422381
10294,FAKE,bias,0.051756982,impartial,0.690314293
3608,REAL,unsure,0.491328239,impartial,0.703550816
10142,FAKE,bias,0.033552323,impartial,0.607313275
875,REAL,unsure,0.469013274,bias,0.188866869
6903,FAKE,impartial,0.723497272,bias,0.129053041
7341,FAKE,bias,0.186918557,bias,0.292380035
95,REAL,impartial,0.723216593,bias,0.332322776
4869,REAL,bias,0.344862461,impartial,0.609288931
2909,REAL,impartial,0.910881758,impartial,0.872810721
1357,REAL,bias,0.072758101,unsure,0.58596015
988,REAL,bias,0.16959089,bias,0.103551723
7041,FAKE,impartial,0.828821361,bias,0.145495221
7623,FAKE,unsure,0.475424945,bias,0.332322776
1571,REAL,unsure,0.484890819,bias,0.332322776
4739,REAL,unsure,0.511042535,bias,0.221757948
7737,FAKE,bias,0.105015382,bias,0.214878798
8716,FAKE,bias,0.009287746,bias,0.150046676
3304,REAL,impartial,0.6782251,impartial,0.788141847
3078,REAL,bias,0.045862257,bias,0.264296144
2517,REAL,unsure,0.539379835,bias,0.136645794
10348,FAKE,impartial,0.851225376,bias,0.298411041
778,REAL,bias,0.279303074,bias,0.349924594
3300,REAL,unsure,0.506864309,impartial,0.858719707
6155,FAKE,impartial,0.660803795,bias,0.120009817
636,REAL,bias,0.316728979,impartial,0.664396644
755,REAL,impartial,0.643764794,bias,0.214220837
626,REAL,bias,0.238779798,bias,0.118896872
691,REAL,bias,0.022643046,bias,0.133565158
5743,FAKE,impartial,0.946748674,impartial,0.815575361
1787,REAL,bias,0.383885592,bias,0.332322776
7808,FAKE,impartial,0.827399492,bias,0.161272898
6484,FAKE,bias,0.381222904,bias,0.192828119
7385,FAKE,impartial,0.921683133,impartial,0.855640888
9016,FAKE,bias,0.030811092,bias,0.107459933
9324,FAKE,impartial,0.87447536,bias,0.122669302
8983,FAKE,unsure,0.553651154,bias,0.300317138
8965,FAKE,unsure,0.560499787,bias,0.077404976
5580,FAKE,impartial,0.734775603,bias,0.256302655
9757,FAKE,unsure,0.4982647,unsure,0.568566084
1967,REAL,unsure,0.585504532,impartial,0.877773941
431,REAL,impartial,0.815170646,unsure,0.564737082
5955,FAKE,unsure,0.482641578,bias,0.332322776
7455,FAKE,bias,0.36031884,bias,0.069702916
5224,REAL,bias,0.313173383,bias,0.128546223
7793,FAKE,bias,0.388566822,impartial,0.784033298
2777,REAL,bias,0.178806275,bias,0.177391365
587,REAL,unsure,0.543968797,bias,0.332322776
9403,FAKE,bias,0.08011359,bias,0.290820062
5931,FAKE,bias,0.04945362,unsure,0.587664366
